dataset_id,control_prob,treat_prob
479,0.744375,0.255625
480,0.103125,0.896875
481,0.892875,0.107125
482,0.4235,0.5765
483,0.4325,0.5675
484,0.723125,0.276875
485,0.5215,0.4785
486,0.917375,0.082625
487,0.574875,0.425125
488,0.918625,0.081375
489,0.710625,0.289375
490,0.491125,0.508875
491,0.51675,0.48325
492,0.3055,0.6945
493,0.155,0.845
494,0.300875,0.699125
495,0.48375,0.51625
496,0.92975,0.07025
497,0.0915,0.9085
498,0.591375,0.408625
499,0.954125,0.045875
500,0.31175,0.68825
501,0.7515,0.2485
502,0.18025,0.81975
503,0.331625,0.668375
504,0.358125,0.641875
505,0.58425,0.41575
506,0.087125,0.912875
507,0.803,0.197
508,0.066125,0.933875
509,0.7665,0.2335
510,0.622625,0.377375
511,0.786375,0.213625
512,0.179875,0.820125
513,0.546375,0.453625
514,0.108,0.892
515,0.284,0.716
516,0.171625,0.828375
517,0.855625,0.144375
518,0.3635,0.6365
519,0.5265,0.4735
520,0.112,0.888
521,0.88475,0.11525
522,0.257125,0.742875
523,0.1735,0.8265
524,0.549375,0.450625
525,0.360625,0.639375
526,0.799,0.201
527,0.627,0.373
528,0.95325,0.04675
529,0.1605,0.8395
530,0.98075,0.01925
531,0.451625,0.548375
532,0.25725,0.74275
533,0.667,0.333
534,0.026625,0.973375
535,0.043125,0.956875
536,0.623125,0.376875
537,0.553375,0.446625
538,0.569125,0.430875
539,0.670875,0.329125
540,0.743875,0.256125
541,0.580625,0.419375
542,0.80675,0.19325
543,0.429625,0.570375
544,0.5035,0.4965
545,0.04975,0.95025
546,0.557125,0.442875
547,0.327625,0.672375
548,0.69325,0.30675
549,0.624875,0.375125
550,0.304875,0.695125
551,0.150125,0.849875
552,0.7455,0.2545
553,0.399375,0.600625
554,0.96575,0.03425
555,0.806875,0.193125
556,0.674,0.326
557,0.871625,0.128375
558,0.381,0.619
559,0.683125,0.316875
560,0.356875,0.643125
561,0.373875,0.626125
562,0.685,0.315
563,0.1805,0.8195
564,0.915875,0.084125
565,0.987,0.013
566,0.67225,0.32775
567,0.70825,0.29175
568,0.739625,0.260375
569,0.093875,0.906125
570,0.006625,0.993375
571,0.94125,0.05875
572,0.122,0.878
573,0.264875,0.735125
574,0.277125,0.722875
575,0.10825,0.89175
576,0.942,0.058
577,0.264875,0.735125
578,0.1545,0.8455
579,0.931625,0.068375
580,0.63975,0.36025
581,0.085125,0.914875
582,0.02625,0.97375
583,0.761625,0.238375
584,0.396,0.604
585,0.27975,0.72025
586,0.782875,0.217125
587,0.296,0.704
588,0.82275,0.17725
589,0.56225,0.43775
590,0.45625,0.54375
591,0.64625,0.35375
592,0.533,0.467
593,0.127,0.873
594,0.8445,0.1555
595,0.406,0.594
596,0.38675,0.61325
597,0.70075,0.29925
598,0.296875,0.703125
599,0.31775,0.68225
600,0.1695,0.8305
601,0.44675,0.55325
602,0.069625,0.930375
603,0.69625,0.30375
604,0.3205,0.6795
605,0.392375,0.607625
606,0.17225,0.82775
607,0.32875,0.67125
608,0.581125,0.418875
609,0.44275,0.55725
610,0.76275,0.23725
611,0.650375,0.349625
612,0.38575,0.61425
613,0.803125,0.196875
614,0.134375,0.865625
615,0.8145,0.1855
616,0.467125,0.532875
617,0.873,0.127
618,0.656625,0.343375
619,0.921,0.079
620,0.466,0.534
621,0.512,0.488
622,0.82175,0.17825
623,0.621375,0.378625
624,0.385625,0.614375
625,0.42,0.58
626,0.262625,0.737375
627,0.419375,0.580625
628,0.27175,0.72825
629,0.665125,0.334875
630,0.777,0.223
631,0.87775,0.12225
632,0.311875,0.688125
633,0.515875,0.484125
634,0.603875,0.396125
635,0.27475,0.72525
636,0.293,0.707
637,0.2135,0.7865
638,0.69425,0.30575
639,0.296375,0.703625
640,0.332,0.668
641,0.175875,0.824125
642,0.199125,0.800875
643,0.74675,0.25325
644,0.408375,0.591625
645,0.70675,0.29325
646,0.431125,0.568875
647,0.218875,0.781125
648,0.592375,0.407625
649,0.432125,0.567875
650,0.374125,0.625875
651,0.307125,0.692875
652,0.63525,0.36475
653,0.147375,0.852625
654,0.66675,0.33325
655,0.663375,0.336625
656,0.342875,0.657125
657,0.919125,0.080875
658,0.400875,0.599125
659,0.16725,0.83275
660,0.620625,0.379375
661,0.766125,0.233875
662,0.52725,0.47275
663,0.31225,0.68775
664,0.938375,0.061625
665,0.713,0.287
666,0.6725,0.3275
667,0.40825,0.59175
668,0.597625,0.402375
669,0.908875,0.091125
670,0.319875,0.680125
671,0.885,0.115
672,0.5945,0.4055
673,0.758125,0.241875
674,0.387625,0.612375
675,0.628125,0.371875
676,0.175625,0.824375
677,0.346375,0.653625
678,0.17125,0.82875
679,0.854,0.146
680,0.448875,0.551125
681,0.623125,0.376875
682,0.46375,0.53625
683,0.732625,0.267375
684,0.41775,0.58225
685,0.828,0.172
686,0.608125,0.391875
687,0.04475,0.95525
688,0.34975,0.65025
689,0.6255,0.3745
690,0.77975,0.22025
691,0.5725,0.4275
692,0.732125,0.267875
693,0.02475,0.97525
694,0.927125,0.072875
695,0.76625,0.23375
696,0.616375,0.383625
697,0.2475,0.7525
698,0.55575,0.44425
699,0.04275,0.95725
700,0.044,0.956
701,0.371375,0.628625
702,0.686875,0.313125
703,0.39125,0.60875
704,0.413375,0.586625
705,0.002,0.998
706,0.286,0.714
707,0.555375,0.444625
708,0.934875,0.065125
709,0.9875,0.0125
710,0.0625,0.9375
711,0.819375,0.180625
712,0.312,0.688
713,0.36475,0.63525
714,0.123875,0.876125
715,0.556125,0.443875
716,0.534625,0.465375
717,0.087875,0.912125
718,0.0875,0.9125
719,0.180625,0.819375
720,0.551875,0.448125
721,0.519125,0.480875
722,0.916125,0.083875
723,0.657,0.343
724,0.320625,0.679375
725,0.721375,0.278625
726,0.395625,0.604375
727,0.43625,0.56375
728,0.754625,0.245375
729,0.280875,0.719125
730,0.586625,0.413375
731,0.092,0.908
732,0.71425,0.28575
733,0.053625,0.946375
734,0.648125,0.351875
735,0.2365,0.7635
736,0.5595,0.4405
737,0.9115,0.0885
738,0.14875,0.85125
739,0.062,0.938
740,0.38025,0.61975
741,0.81625,0.18375
742,0.574,0.426
743,0.1275,0.8725
744,0.402125,0.597875
745,0.6465,0.3535
746,0.099,0.901
747,0.737125,0.262875
748,0.647625,0.352375
749,0.1335,0.8665
750,0.84125,0.15875
751,0.51125,0.48875
752,0.45475,0.54525
753,0.65625,0.34375
754,0.382875,0.617125
755,0.535125,0.464875
756,0.403625,0.596375
757,0.882625,0.117375
758,0.90425,0.09575
759,0.258625,0.741375
760,0.73925,0.26075
761,0.48,0.52
762,0.877625,0.122375
763,0.654875,0.345125
764,0.484125,0.515875
765,0.869875,0.130125
766,0.666875,0.333125
767,0.445125,0.554875
768,0.585625,0.414375
769,0.576625,0.423375
770,0.2505,0.7495
771,0.8095,0.1905
772,0.8725,0.1275
773,0.646375,0.353625
774,0.268375,0.731625
775,0.694625,0.305375
776,0.106875,0.893125
777,0.739625,0.260375
778,0.45675,0.54325
779,0.020375,0.979625
780,0.7045,0.2955
781,0.2815,0.7185
782,0.336375,0.663625
783,0.529875,0.470125
784,0.484375,0.515625
785,0.814875,0.185125
786,0.717625,0.282375
787,0.208125,0.791875
788,0.274375,0.725625
789,0.70525,0.29475
790,0.138625,0.861375
791,0.386,0.614
792,0.24425,0.75575
793,0.983375,0.016625
794,0.551125,0.448875
795,0.681375,0.318625
796,0.894375,0.105625
797,0.070125,0.929875
798,0.85675,0.14325
799,0.547625,0.452375
800,0.397,0.603
801,0.44775,0.55225
802,0.517625,0.482375
803,0.710125,0.289875
804,0.553375,0.446625
805,0.2385,0.7615
806,0.512125,0.487875
807,0.18125,0.81875
808,0.68325,0.31675
809,0.41675,0.58325
810,0.781125,0.218875
811,0.815125,0.184875
812,0.989875,0.010125
813,0.685875,0.314125
814,0.834875,0.165125
815,0.12175,0.87825
816,0.374,0.626
817,0.880375,0.119625
818,0.8035,0.1965
819,0.186125,0.813875
820,0.351875,0.648125
821,0.1605,0.8395
822,0.277125,0.722875
823,0.692875,0.307125
824,0.564625,0.435375
